,Study_ids,Male,Female,Total,Nulls
29,./data/phs000251.v2.pht001262.v2.p2.HMP_Cutaneous_Psoriasis_Subject_Phenotypes.var_report.xml,65,28,93,0
30,./data/phs001290.v1.pht010335.v1.p1.CIDR_CRC_Survival_Sample_Attributes.var_report.xml,3202,2867,6238,1091
31,./data/phs000911.v1.pht004980.v1.p1.T1DGC_ImmunoChip_Sample_Attributes.var_report.xml,8608,8852,17460,0
32,./data/phs002003.v1.pht010108.v1.p1.Single_Cell_Atlas_Subject_Phenotypes.var_report.xml,19,19,38,0
33,./data/phs001858.v1.pht009371.v1.p1.Advanced_Cancer_Subject.var_report.xml,7956,9127,17152,0
34,./data/phs001917.v1.pht009548.v1.p1.Methylation_PC_Subject.var_report.xml,454,370,824,0
35,./data/phs000701.v1.pht005508.v1.p1.BSIQuestionnaire.var_report.xml,37,30,107,96
36,./data/phs002212.v1.pht010983.v1.p1.ZRSR2_MDS_Subject.var_report.xml,16,2,18,0
37,./data/phs000600.v1.pht003238.v1.p1.Cervical_Cancer_Sample.var_report.xml,NA,115,230,0
38,./data/phs001554.v1.pht007608.v1.p1.GECCO_CRC_Susceptibility_Sample.var_report.xml,1075,1817,2892,1974
39,./data/phs001381.v1.pht006569.v1.p1.Gut_Microbiome_Colorectal_Polyps_Sample_Attributes.var_report.xml,352,315,667,0
40,./data/phs000086.v3.pht000258.v1.p1.DCCT_f046cmb2.var_report.xml,191,163,572,3
41,./data/phs000691.v2.pht003652.v2.p1.Sickle_Cell_CIP_Sample.var_report.xml,291,197,651,0
42,./data/phs000126.v2.pht005717.v1.p1.CIDR_PD_Sample_Attributes.var_report.xml,1005,985,2082,0
43,./data/phs001065.v1.pht005434.v1.p1.uhdr5.var_report.xml,296,313,2881,0
44,./data/phs001823.v1.pht009056.v1.p1.Lung_Cancer_Cell_Lines_Subject.var_report.xml,169,92,279,256
45,./data/phs001761.v1.pht009028.v1.p1.MPNs_Chernobyl_Sample.var_report.xml,34,120,155,0
46,./data/phs001309.v1.pht007912.v1.p1.RLD_5706_Subject.var_report.xml,51,54,159,0
47,./data/phs001065.v1.pht005401.v1.p1.concl.var_report.xml,296,313,609,599
48,./data/phs000715.v1.pht003744.v1.p1.Multiple_Sclerosis_Brains_Sample.var_report.xml,15,17,35,0
49,./data/phs000171.v1.pht000755.v1.p1.MS_DATA_FAMSFAM.var_report_2009_12_11.xml,164,317,481,1
50,./data/phs000444.v1.pht002701.v1.p1.Italian_Primary_Biliary_Cirrhosis_Subject.var_report.xml,484,829,1389,0
51,./data/phs002319.v1.pht010925.v1.p1.INVEST_Subject_Phenotypes.var_report.xml,716,813,1529,925
52,./data/phs001771.v1.pht008717.v1.p1.IGNITE_Subject_Phenotypes.var_report.xml,163,280,443,442
53,./data/phs000756.v1.pht007371.v1.p1.FINRISK_Subject.var_report.xml,4392,4943,9335,0
54,./data/phs001348.v2.pht006233.v2.p1.Gene_Discovery_WGMS_Pedigree.var_report.xml,24,21,45,45
55,./data/phs001342.v1.pht008051.v1.p1.Statin_Induced_Myopathy_Subject_Phenotypes.var_report.xml,30,16,46,0
56,./data/phs000219.v1.pht001102.v1.p1.d_summary.var_report_2010_01_19.xml,664,1054,2885,2884
57,./data/phs001252.v1.pht006402.v1.p1.vdawall.var_report.xml,1505,990,799267,195245
58,./data/phs001785.v1.pht011459.v1.p1.GMKF_Hemangiomas_Subject.var_report.xml,NA,NA,274,0
59,./data/phs000644.v1.pht003423.v1.p1.Menstrual_Cycle_Effect_Breast_Subject_Phenotypes.var_report.xml,NA,20,20,14
60,./data/phs001661.v3.pht010558.v2.p1.TOPMed_WGS_GCPD_A_Subject.var_report.xml,2791,2673,5464,0
61,./data/phs001601.v2.pht010664.v2.p2.PMBB_AF_Subject.var_report.xml,1271,939,2210,867
62,./data/phs001230.v1.pht009240.v1.p1.Estonian_Biobank_Sample.var_report.xml,1164,1116,2280,0
63,./data/phs000983.v1.pht005006.v1.p1.Rheumatoid_Arthritis_Therapy_Subject_Phenotypes.var_report.xml,93,419,512,0
64,./data/phs000857.v1.pht004487.v1.p1.ER_Positive_Breast_Cancer_Subject.var_report.xml,NA,50,50,0
65,./data/phs001245.v1.pht005932.v1.p1.CD70_Subject_Phenotypes.var_report.xml,3,2,5,0
66,./data/phs001318.v1.pht008017.v1.p1.enrollmentmedicalillness.var_report.xml,27,13,40,40
67,./data/phs000998.v2.pht005055.v2.p1.iPSC_Pulmonary_Hypertension_Sample.var_report.xml,14,20,48,0
68,./data/phs001787.v1.pht009046.v1.p1.CRC_High_Risk_Families_Sample_Attributes.var_report.xml,23,28,206,0
69,./data/phs001594.v1.pht008144.v1.p1.Mucosal_Melanomas_Subject.var_report.xml,15,23,38,0
70,./data/phs001814.v1.pht009004.v1.p1.Heterotaxy_Subject.var_report.xml,149,130,279,0
71,./data/phs001848.v1.pht009204.v1.p1.PIK3CG_Pedigree.var_report.xml,1,2,3,0
72,./data/phs001852.v1.pht009275.v1.p1.Height_Jewish_Subject.var_report.xml,225,192,417,0
73,./data/phs000404.v1.pht002366.v1.p1.GENEVA_Smoking_Cessation_Pedigree.var_report.xml,81,88,169,0
74,./data/phs000128.v3.pht000503.v2.p3.simphen104.var_report.xml,2943,3500,6443,0
75,./data/phs000713.v1.pht004272.v1.p1.GDNF_Anxiety_Depression_Sample.var_report.xml,328,380,708,0
76,./data/phs000742.v1.pht008107.v1.p1.EPGP_Subject_Phenotypes.var_report.xml,1497,1789,3286,422
77,./data/phs001407.v1.pht006665.v1.p1.HNPCC_Subject.var_report.xml,1,10,11,0
78,./data/phs000574.v1.pht005870.v1.p1.measurements.var_report.xml,41,938,4074,4073
79,./data/phs000285.v3.pht001752.v2.p2.E1CATECH.var_report.xml,45,63,205,1
80,./data/phs000209.v13.pht004323.v1.p3.MESA_AncilMesaNeighborSESExam3.var_report.xml,2677,2924,5601,25
81,./data/phs001410.v1.pht008424.v1.p1.GMKF_AIS_Sample_Attributes.var_report.xml,106,194,300,0
82,./data/phs001758.v1.pht008610.v1.p1.FNMTC_Sample.var_report.xml,2,8,10,0
83,./data/phs001490.v1.pht008137.v1.p1.T2D_GENES_BioMe_Subject_Phenotypes.var_report.xml,1065,1522,2587,0
84,./data/phs000200.v9.pht001025.v4.p3.f90_rel1.var_report.xml,NA,3384,11995,904
85,./data/phs000286.v6.pht008786.v1.p2.ssfc.var_report.xml,939,1570,2809,2808
86,./data/phs001643.v1.pht008192.v1.p1.Chordoma_Sample.var_report.xml,4,NA,8,0
87,./data/phs000948.v1.pht004849.v1.p1.eMERGE_PhaseII_Sample.var_report.xml,684,1284,1968,0
88,./data/phs001071.v1.pht005347.v1.p1.CIDR_HD_Onset_Age_Subject_Phenotypes.var_report.xml,21,16,37,0
89,./data/phs000200.v9.pht000995.v4.p3.f148_rel1.var_report.xml,NA,12215,12215,12210
90,./data/phs000228.v4.pht001184.v3.p1.EMMES_HMP_Subject.var_report.xml,149,151,300,0
91,./data/phs001430.v2.pht009850.v1.p1.protocol_deviation_report.var_report.xml,2,NA,2,0
92,./data/phs001095.v1.pht005619.v1.p1.T2D_GENES_Ashkenazi_Sample.var_report.xml,421,437,867,0
93,./data/phs000718.v1.pht003839.v1.p1.T21NDJ_Pedigree.var_report.xml,1243,1187,2430,0
94,./data/phs002386.v1.pht011082.v1.p1.STOPII_Subject.var_report.xml,NA,NA,79,0
95,./data/phs001384.v1.pht006741.v1.p1.Polyp_To_Cancer_Subject_Phenotypes.var_report.xml,20,11,31,0
96,./data/phs000128.v3.pht000440.v2.p3.simphen041.var_report.xml,2943,3500,6443,0
97,./data/phs000086.v3.pht000276.v1.p1.DCCT_cbl10.var_report.xml,746,674,1420,1420
98,./data/phs001038.v1.pht005208.v1.p1.Melanoma_DNMTi_Immunotherapy_Subject_Phenotypes.var_report.xml,9,11,20,0
99,./data/phs001860.v1.pht009454.v1.p1.Autoinflammatory_Disorders_Sample_Attributes.var_report.xml,86,120,206,0
100,./data/phs001886.v2.pht009418.v2.p1.Placenta_Term_Preterm_Subject_Phenotypes.var_report.xml,NA,12,12,0
101,./data/phs001910.v1.pht009538.v1.p1.PNETs_Subject_Phenotypes.var_report.xml,22,24,46,0
102,./data/phs000630.v1.pht003384.v1.p1.NIMH_Controls_Sample_Attributes.var_report.xml,466,480,1051,0
103,./data/phs001191.v1.pht006224.v1.p1.eMERGE_NUgene_WGS_Subject.var_report.xml,312,588,900,759
104,./data/phs001203.v1.pht005967.v1.p1.STARNET_Sample_Attributes.var_report.xml,NA,NA,3577,0
105,./data/phs001330.v2.pht007537.v2.p1.cognitive.var_report.xml,25,15,40,40
106,./data/phs000910.v1.pht004728.v1.p1.T1DGC_CNV_Subject_Phenotypes.var_report.xml,4063,3942,8005,0
107,./data/phs001261.v1.pht006112.v1.p1.Palindromic_Gene_Amplification_Subject.var_report.xml,NA,8,8,0
108,./data/phs001718.v1.pht009424.v1.p1.C9ORF72_Subject.var_report.xml,1240,855,2095,0
109,./data/phs000609.v1.pht003283.v1.p1.AutismGeneExpression_Subject.var_report.xml,18,9,27,0
110,./data/phs002315.v1.pht011314.v1.p1.Integrated_Multimodal_Single_Cell_Subject.var_report.xml,6,2,9,1
111,./data/phs001803.v1.pht008939.v1.p1.Dystonias_Subject_Phenotypes.var_report.xml,223,696,919,0
112,./data/phs001519.v1.pht008433.v1.p1.Neoantigen_Cancer_Vaccine_GBM_Subject.var_report.xml,4,6,10,0
113,./data/phs001736.v1.pht009330.v1.p1.RCC_European_Sample_Attributes.var_report.xml,1504,881,2385,0
114,./data/phs001881.v1.pht010564.v1.p1.CNV_NDD_Subject_Phenotypes.var_report.xml,2839,1545,4384,0
115,./data/phs000007.v32.pht000200.v4.p13.igf1_6s.var_report.xml,97,99,196,5
116,./data/phs000126.v2.pht000365.v2.p1.CIDR_PD_Pedigree.var_report.xml,1032,1020,2052,0
117,./data/phs001575.v2.pht009606.v1.p1.demographics.var_report.xml,16,26,42,42
118,./data/phs001649.v1.pht008517.v1.p1.CEDAR_Sample_Attributes.var_report.xml,299,170,469,0
119,./data/phs001083.v1.pht005323.v1.p1.SCLC_Chinese_Subject.var_report.xml,NA,NA,99,0
120,./data/phs002377.v1.pht011115.v1.p1.Ipilimumab_Nivolumab_HCT_Sample_Attributes.var_report.xml,19,17,78,0
121,./data/phs001351.v1.pht009410.v1.p1.Inherited_Neuropathy_Subject.var_report.xml,NA,NA,2,0
122,./data/phs000343.v3.pht003150.v1.p1.HOS.var_report.xml,579,332,1794,1794
123,./data/phs000687.v1.pht003693.v1.p1.Schizophrenia_De_Novo_Mutations_Pedigree.var_report.xml,905,921,1826,0
124,./data/phs002415.v1.pht011586.v1.p1.BABY_HUG_Subject.var_report.xml,NA,NA,219,0
125,./data/phs000509.v1.pht004312.v1.p1.Hepatocellular_Carcinoma_Sequencing_Subject.var_report.xml,60,28,100,0
126,./data/phs001512.v1.pht007665.v1.p1.IR_Signatures_Subject.var_report.xml,7,10,17,0
127,./data/phs000280.v7.pht004099.v2.p1.HEMC31.var_report.xml,512,614,1126,1032
128,./data/phs000824.v1.pht005138.v1.p1.Colon_Cancer_Predisposing_Mutations_Subject_Phenotypes.var_report.xml,37,63,100,0
129,./data/phs000280.v7.pht004100.v5.p1.HFCCELPS16.var_report.xml,1224,1399,7568,7568
130,./data/phs001080.v1.pht005370.v1.p1.Hereditary_Spastic_Paraplegia_Pedigree.var_report.xml,62,41,103,0
131,./data/phs001998.v1.pht010505.v1.p1.CLL_allo_HSCT_Sample_Attributes.var_report.xml,4,6,29,0
132,./data/phs000007.v32.pht004363.v4.p13.l_uralcrea_ex07_1b_0380s.var_report.xml,1267,1535,2802,0
133,./data/phs000263.v1.pht001236.v1.p1.HMP_Skin_Acne_Sample.var_report.xml,40,54,165,0
134,./data/phs001154.v1.pht008375.v1.p1.CNV_Developmental_Disorders_Subject_Phenotypes.var_report.xml,7278,3340,10618,0
135,./data/phs000128.v3.pht000552.v2.p3.simphen153.var_report.xml,2943,3500,6443,0
136,./data/phs000416.v2.pht008143.v1.p1.GOCHA_Sample_Attributes.var_report.xml,1722,1844,3568,0
137,./data/phs000553.v1.pht003133.v1.p1.Rare_Pediatric_Phenotypes_Sample.var_report.xml,1,4,7,1
138,./data/phs000285.v3.pht001638.v2.p2.B2F34.var_report.xml,908,1032,3414,14
139,./data/phs001940.v2.pht009699.v2.p1.Immune_Checkpoint_NSCLC_Sample_Attributes.var_report.xml,19,17,72,0
140,./data/phs000128.v3.pht000423.v2.p3.simphen024.var_report.xml,2943,3500,6443,0
141,./data/phs001331.v2.pht009413.v1.p1.adverse_event.var_report.xml,2,NA,2,2
142,./data/phs000007.v32.pht002429.v1.p13.t_pwaved_1975_m_0644s.var_report.xml,702,943,1645,1559
143,./data/phs000016.v2.pht000049.v2.p2.Diagnosis.var_report_2009_11_27.xml,802,122,924,0
144,./data/phs000144.v1.pht000721.v1.p1.TSP_ClinPathQA_Data_SampleQA.var_report_2009_01_22.xml,165,216,384,376
145,./data/phs000007.v32.pht005153.v3.p13.t_ctabfat_2011_m_0669s.var_report.xml,1459,1552,3011,20
146,./data/phs001727.v2.pht010103.v1.p1.TOPMed_WGS_PIMA_Sample_Attributes.var_report.xml,29,44,73,0
147,./data/phs000007.v32.pht010754.v1.p13.vr_ffreq_ex09_1_1158s.var_report.xml,968,1185,2153,2153
148,./data/phs001250.v1.pht006327.v1.p1.Primary_Breast_Cancers_Subject_Phenotypes.var_report.xml,NA,NA,360,128
149,./data/phs001933.v1.pht011511.v1.p1.TOPMed_CCDG_UCSF_AF_Subject.var_report.xml,89,24,113,0
150,./data/phs001074.v1.pht005342.v1.p1.GeneSTAR_Platelet_Aggregation_iPS_MKs_Subject_Phenotypes.var_report.xml,115,135,750,633
151,./data/phs000617.v1.pht005476.v1.p1.diLQTS_European_Sample.var_report.xml,162,128,290,0
152,./data/phs001778.v1.pht009830.v1.p1.MDS_huM_Subject.var_report.xml,5,6,11,0
153,./data/phs001348.v2.pht006235.v2.p1.Gene_Discovery_WGMS_Subject_Phenotypes.var_report.xml,24,21,45,0
154,./data/phs000895.v1.pht005070.v1.p1.Periampullary_Tumors_Subject.var_report.xml,88,72,160,0
155,./data/phs000268.v1.pht002166.v1.p1.CEPH_FamilyPanels_Sample_Phenotypes.var_report_2011_02_24.xml,85,96,184,94
156,./data/phs001446.v2.pht009627.v1.p1.TOPMed_WGS_SARP_Sample.var_report.xml,713,1144,1890,0
157,./data/phs000287.v7.pht001481.v1.p1.YR14PH.var_report.xml,2375,3156,5531,5454
158,./data/phs000286.v6.pht001947.v2.p2.csia.var_report.xml,1034,1810,3200,74
159,./data/phs001852.v1.pht009278.v1.p1.Height_Jewish_Subject_Phenotypes.var_report.xml,216,188,404,284
160,./data/phs000872.v1.pht004574.v1.p1.Autism_Postmortem_Brain_Subject_Phenotypes.var_report.xml,18,6,24,1
161,./data/phs000196.v3.pht004623.v1.p1.NGRC_Sample_Attributes.var_report.xml,2128,1880,4101,0
162,./data/phs000594.v1.pht006497.v1.p1.CTEPAdEERsReportingForm.var_report.xml,3,1,7,7
163,./data/phs000219.v1.pht001104.v1.p1.d_vitl.var_report_2010_01_19.xml,664,1054,2884,2874
164,./data/phs002048.v2.pht010314.v1.p1.SLE_Subject.var_report.xml,4,54,58,0
165,./data/phs000007.v32.pht007771.v3.p13.vr_dgai2010_ex02_3_0996s.var_report.xml,1439,1696,3135,0
166,./data/phs000776.v1.pht003949.v1.p1.MCCD_Subject_Phenotypes.var_report.xml,7,26,33,0
167,./data/phs001471.v1.pht009800.v1.p1.HHL_Subject.var_report.xml,189,475,664,0
168,./data/phs001046.v1.pht005296.v1.p1.risk_extremes_pheno.var_report.xml,32,67,99,5
169,./data/phs000737.v1.pht004444.v1.p1.Metabolic_Syndrome_Hvar_Islanders_Pedigree.var_report.xml,815,839,1654,0
170,./data/phs000222.v6.pht002872.v3.p2.Cognitive.var_report.xml,535,950,7700,6695
171,./data/phs000200.v9.pht000990.v4.p3.f143_rel1.var_report.xml,NA,21682,21682,21621
172,./data/phs001485.v2.pht007186.v2.p1.Cell_ID_Sample.var_report.xml,11,13,208,0
173,./data/phs000522.v1.pht002879.v1.p1.Hyperdiploid_Pediatric_ALL_Sample.var_report.xml,NA,NA,5,0
174,./data/phs000455.v1.pht002577.v1.p1.Developmental_Brain_Disorders_Subject_Phenotypes.var_report.xml,7,3,10,0
175,./data/phs000007.v32.pht004807.v3.p13.l_pthvitd_ex09_1b_0382s.var_report.xml,1145,1386,2531,0
176,./data/phs000128.v3.pht000416.v2.p3.simphen017.var_report.xml,2943,3500,6443,0
177,./data/phs000007.v32.pht001043.v7.p13.il63_1s.var_report.xml,1872,2131,4164,3521
178,./data/phs001045.v1.pht009260.v1.p1.MECC_Ashkenazi_Sample.var_report.xml,169,154,323,0
179,./data/phs000086.v3.pht000252.v1.p1.DCCT_f114cmb3.var_report.xml,738,650,1799,1785
180,./data/phs000618.v1.pht003304.v1.p1.Hypertriglyceridemia_Mexican_Sample_Attributes.var_report.xml,2046,2304,4350,0
181,./data/phs000094.v1.pht001134.v1.p1.Oral_Clefts_Subject_Phenotype.var_report_2010_04_12.xml,4000,3507,7507,0
182,./data/phs000856.v1.pht004456.v1.p1.Chromothripsis_WHIM_Sample.var_report.xml,NA,1,2,0
183,./data/phs001523.v1.pht007513.v1.p1.phenotype_followUpSurvey.var_report.xml,NA,NA,117,8
184,./data/phs001226.v1.pht006168.v1.p1.Embryonic_Development_Subject.var_report.xml,NA,NA,19,0
185,./data/phs001990.v1.pht010017.v1.p1.Aneurysmal_SAH_Subject.var_report.xml,87,192,283,0
186,./data/phs000286.v6.pht008766.v1.p2.mribV2.var_report.xml,60,108,195,194
187,./data/phs001662.v2.pht010074.v1.p1.LTRC_R040_subject_symptom_quest.var_report.xml,843,758,1602,1545
188,./data/phs001168.v2.pht007577.v2.p2.GMKF_OFC_Subject.var_report.xml,755,623,1378,1000
189,./data/phs001011.v2.pht005533.v1.p1.eMERGE_CCHMC_IIIA_Sample_Attributes.var_report.xml,935,633,1571,0
190,./data/phs001900.v1.pht009632.v1.p1.ASD_SCZ_Development_Subject_Phenotypes.var_report.xml,123,96,219,0
191,./data/phs000286.v6.pht008788.v1.p2.stxa.var_report.xml,850,1514,2636,196
192,./data/phs000571.v3.pht003178.v3.p2.Catheterization.var_report.xml,148,100,383,5
193,./data/phs000007.v32.pht010738.v1.p13.t_pettau_2020_3_1286s.var_report.xml,89,75,164,7
194,./data/phs000916.v1.pht004736.v1.p1.MIGen_Exome_Munich_MI_Subject_Phenotypes.var_report.xml,516,283,799,0
195,./data/phs001883.v1.pht009681.v1.p1.S0800_BC_Sample.var_report.xml,NA,29,45,0
196,./data/phs002417.v1.pht011273.v1.p1.FFCWS_Subject.var_report.xml,1578,1507,3085,0
197,./data/phs000257.v3.pht001249.v3.p1.HMP_Gut_Crohns_Function_Sample.var_report.xml,29,33,168,0
198,./data/phs001814.v1.pht009007.v1.p1.Heterotaxy_Subject_Phenotypes.var_report.xml,149,130,279,0
199,./data/phs000020.v2.pht000668.v1.p1.NESDA_NTR_Subject.var_report_2008_10_27.xml,1291,2449,3741,0
200,./data/phs001841.v1.pht009905.v1.p1.CADD_GADD_Pedigree.var_report.xml,732,619,1351,1339
201,./data/phs000728.v1.pht003767.v1.p1.Lung_Cancer_Smokers_Sample.var_report.xml,NA,NA,204,0
202,./data/phs002023.v1.pht010194.v1.p1.CRPM_Subject.var_report.xml,3,11,14,0
203,./data/phs000171.v1.pht000764.v1.p1.MS_DATA_MHQCOUNTRY.var_report_2009_12_11.xml,636,1284,1920,1915
204,./data/phs000999.v3.pht005182.v3.p1.CSER_ClinSeq_Cancer_Subject_Phenotypes.var_report.xml,130,112,242,0
205,./data/phs001221.v1.pht007159.v1.p1.Prostate_Cancer_GWAS_Sample.var_report.xml,34736,NA,34736,0
206,./data/phs001951.v1.pht009784.v1.p1.Relapsed_ALL_Sample_Attributes.var_report.xml,NA,NA,128,0
207,./data/phs001409.v1.pht006800.v1.p1.Uterine_Fibroids_AA_EA_Subject_Phenotypes.var_report.xml,NA,4594,4594,0
208,./data/phs002433.v1.pht011258.v1.p1.NP_RNAseq_SARS_CoV2_Sample.var_report.xml,22,16,38,0
209,./data/phs002060.v1.pht010589.v1.p1.CALGB_40502_Subject.var_report.xml,NA,624,624,0
210,./data/phs000128.v3.pht000505.v2.p3.simphen106.var_report.xml,2943,3500,6443,0
211,./data/phs001311.v1.pht007935.v1.p1.demographics_form.var_report.xml,35,26,61,61
212,./data/phs001062.v5.pht005261.v3.p2.TOPMed_WGS_MGH_AF_Subject.var_report.xml,793,206,1163,1152
213,./data/phs000285.v3.pht001771.v2.p2.E1F09MHM.var_report.xml,NA,20,36,12
214,./data/phs000340.v3.pht002208.v2.p1.ETP_T_ALL_Sample.var_report.xml,73,33,196,0
215,./data/phs000266.v4.pht001264.v4.p1.HMP_Dermatitis_Immunodeficiency_MRSA_Subject.var_report.xml,71,43,114,0
216,./data/phs001278.v1.pht006269.v1.p1.family_history.var_report.xml,83,111,196,196
217,./data/phs001383.v1.pht010793.v1.p1.Moebius_Syndrome_Subject_Phenotypes.var_report.xml,NA,NA,485,0
218,./data/phs001326.v1.pht007802.v1.p1.pidtc_19292_day0erttr.var_report.xml,NA,NA,3,0
219,./data/phs001419.v1.pht007096.v1.p1.physician_examination.var_report.xml,215,213,461,461
220,./data/phs001173.v1.pht005670.v1.p1.Head_Neck_Cancer_GWAS_Sample.var_report.xml,2521,812,3333,0
221,./data/phs000128.v3.pht000414.v2.p3.simphen015.var_report.xml,2943,3500,6443,0
222,./data/phs000767.v1.pht003929.v1.p1.UCSD_CLL_Subject.var_report.xml,37,12,49,47
223,./data/phs000652.v1.pht003456.v1.p1.GliomaScan_Sample.var_report.xml,4326,2485,7072,0
224,./data/phs002506.v1.pht011537.v1.p1.Drug_Outcome_SNVs_Subject.var_report.xml,4037,3056,7093,0
225,./data/phs001278.v1.pht006267.v1.p1.demographics.var_report.xml,85,111,196,196
226,./data/phs001769.v1.pht008627.v1.p1.6104_Study_Data_Clinical.var_report.xml,4,2,6,6
227,./data/phs000789.v1.pht004291.v1.p1.CSGNM_Subject_Phenotypes.var_report.xml,998,1409,2407,936
228,./data/phs000949.v1.pht005225.v1.p1.CIDR_Facial_Variation_Subject_Phenotypes.var_report.xml,1310,1847,3157,0
229,./data/phs001738.v1.pht010289.v1.p1.GMKF_SJFAMILY_HM_Subject.var_report.xml,NA,NA,366,0
230,./data/phs000620.v1.pht003895.v1.p1.MCTFR_Subject_Phenotype_fsiq_data.var_report.xml,2722,3549,6271,0
231,./data/phs001021.v1.pht005265.v1.p1.CHDWB_Rare_Regulatory_Variants_Sample.var_report.xml,136,274,410,0
232,./data/phs001899.v2.pht009568.v2.p1.CSI_Subject.var_report.xml,915,1025,1940,0
233,./data/phs000286.v6.pht001942.v2.p2.bpaa.var_report.xml,92,176,297,20
234,./data/phs001607.v3.pht010149.v3.p2.TOPMed_WGS_IPF_Subject.var_report.xml,2535,1114,3696,3583
235,./data/phs001311.v1.pht007934.v1.p1.inqol.var_report.xml,34,26,226,217
236,./data/phs001662.v2.pht010057.v1.p1.LTRC_R040_subject_demographics.var_report.xml,843,758,1602,6
237,./data/phs000902.v1.pht004668.v1.p1.MIGen_Regicor_Subject.var_report.xml,607,177,784,0
238,./data/phs001563.v1.pht008322.v1.p1.Blood_Handling_Subject.var_report.xml,NA,NA,9,0
239,./data/phs000128.v3.pht000436.v2.p3.simphen037.var_report.xml,2943,3500,6443,0
240,./data/phs001083.v1.pht005324.v1.p1.SCLC_Chinese_Sample.var_report.xml,NA,NA,99,0
241,./data/phs001733.v1.pht008618.v1.p1.Early_Onset_PTD_Subject_Phenotypes.var_report.xml,7,10,17,0
242,./data/phs001331.v2.pht006925.v2.p1.imd_13174_medications.var_report.xml,452,296,2299,2299
243,./data/phs000895.v1.pht005071.v1.p1.Periampullary_Tumors_Sample.var_report.xml,88,72,320,0
244,./data/phs001238.v2.pht006651.v1.p1.GENOA_EuropeanAmerican_CKD_Medications.var_report.xml,262,363,625,0
245,./data/phs000280.v7.pht004133.v2.p1.MSRCOD26.var_report.xml,6120,7410,13530,13475
246,./data/phs001842.v1.pht009245.v1.p1.Sjogrens_Syndrome_Subject_Phenotypes.var_report.xml,NA,44,44,0
